,AnzahlHits,x,y
0,90.0,0.4609413641851523,3.249789135393475
1,170.0,0.005631334439327951,1.9586315676616168
2,634.0,2.030776531441745,4.823923994296223
3,389.0,5.260380060437697,3.61079002744112
4,372.0,0.23881513235146024,7.048150839418369
5,6.0,6.361779235222812,0.12454380851333502
6,9.0,2.9368327888733616,3.2451667771364496
7,34.0,1.4403453711025156,1.554532457386531
8,10.0,0.47011496240262485,0.19683669253382385
9,2.0,0.9528363293242075,0.4653594250602242
10,47.0,1.4607055794617532,1.1683039480309194
11,302.0,3.210264771916319,1.8788708979539943
12,1368.0,1.4528454955429853,1.9965122567169256
13,17.0,1.3531266422058925,2.156785255103876
14,144.0,3.5186844515382347,3.769426347289416
15,485.0,5.45570654688308,1.969241713187785
16,19.0,4.399265316068646,4.257643258529118
17,43.0,2.2620407132864857,1.335814381185633
18,2520.0,5.778645779792256,6.530204629790527
19,149.0,0.027529621975110885,3.7574270677032913
20,60.0,4.3316437489756225,0.32460935405516445
21,4465.0,0.36031582867643497,3.807554602807032
22,14.0,1.3053997208009562,3.6458166836634174
23,33.0,0.08673582895726462,4.628468896308468
24,274.0,3.4071471080207285,0.5465520530364656
25,43.0,0.017162453528301924,2.174028379066528
26,647.0,4.015221112359786,3.403292960502552
27,8302.0,0.3841613887558246,3.4037711974952636
28,51.0,0.11132351544580743,1.2669917721483372
29,57.0,1.5069011159087466,6.220134421040646
30,87.0,1.9182164886034547,4.220473516467526
31,45.0,7.26683754709905,0.02017967256829367
32,68.0,5.681466461516596,2.315574303702128
33,23.0,1.1605339223434852,3.3372303028514936
34,358.0,0.8776565875001534,2.283030256637022
35,39.0,6.558014956984663,0.9623217701162257
36,64.0,4.803221809139645,0.39129416689933594
37,1402.0,0.24290955980354578,0.6743364292812668
38,106.0,2.35899569705537,4.122597428271698
39,6.0,2.2943412867107256,3.4617848378384615
40,6.0,4.83008184839262,2.586925970422319
41,397.0,2.802536618002682,3.0915153814893532
42,8108.0,2.2187409646450185,3.199942752446495
43,313.0,5.374612411692313,0.34137864930872164
44,23.0,5.676958702034723,1.4434197030317675
45,631.0,1.552593576890219,1.9505793903418445
46,702.0,0.8931008911265019,1.5997010089032506
47,128.0,1.7638511854390968,2.079357831293266
48,266.0,1.9200309878786825,1.9884295382696704
49,107.0,6.924167166242553,0.1538541931177324
50,1859.0,1.5031948740298127,1.393540553232555
51,497.0,3.901232244164982,2.2072159880771594
52,157.0,3.797328789575059,2.010961127316156
53,10.0,5.753959058159715,3.79372749845185
54,30.0,0.0507017663184115,6.656060828324144
55,17.0,1.3441346716532072,3.252241642980161
56,430.0,3.891707713278598,0.44730382520773215
57,82.0,2.9470714464061425,1.3001036981751812
58,192.0,3.9094735584761517,3.68854220049079
59,104.0,2.247300086839621,6.475757728903663
60,359.0,5.234043271189757,3.1440668858602665
61,7794.0,2.9280274200817846,2.450002987871263
62,54.0,1.8776899054595901,5.268058723296878
63,256.0,2.555114144163869,4.109871594793162
64,55.0,4.074012566128352,1.5883683274122387
65,43.0,6.319653427272164,2.6199998462200687
66,194.0,0.7835224319348404,2.635853235068464
67,1689.0,0.4239911784650907,6.55723746369816
68,4.0,1.5953263546766348,2.530536421051491
69,63.0,2.482088271599328,3.6408066408516158
70,1606.0,6.740692158382217,3.4643605051030804
71,636.0,1.3715893311536291,6.460881723728999
72,6.0,2.4245283975039547,2.503104080965687
73,73.0,3.392078813997549,4.6099036087404635
74,69.0,1.9896848084716616,2.452824724254861
75,21.0,3.434049684376518,1.3893043144492951
76,12.0,1.3803022958887077,0.43486044381379285
77,86.0,0.4645954927624034,4.257808162743775
78,17.0,0.078921555737689,2.1738543630155895
79,739.0,4.892500083609157,2.5869815189158887
80,21.0,1.0048362719578305,4.900430572478686
81,1644.0,4.636571427724689,3.5368897011178997
82,104.0,5.150597732089567,1.4939501816209115
83,151.0,5.60158051147818,0.36052059878028775
84,3.0,4.81798594596057,2.500280846060937
85,2299.0,3.5148636014323653,2.2859326523840817
86,9748.0,1.8743650483783005,6.098417894565737
87,30.0,0.6365057346115766,5.5983318314322705
88,12.0,4.093777773950423,1.4682267588312787
89,19.0,1.2237616847151598,0.5701059564571458
90,150.0,0.5732855893693358,2.766315990881978
91,46.0,2.002022912901137,1.6714782194797073
92,9.0,2.0416988354813856,3.62785117461242
93,8.0,2.9235813255733443,0.635589595051365
94,239.0,1.1896764349192486,5.951428564395515
95,46.0,3.210711956440247,3.3286707850517674
